home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points,home_win_rate,home_avg_goals,home_avg_conceded,away_win_rate,away_avg_goals,away_avg_conceded
Argentina,France,3,3,Final,2022,1,1.0,1876.118331,3.0,1869.428449,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.5342465753424658,1.8630136986301369,1.1643835616438356
Croatia,Morocco,2,1,Third-place match,2022,2,11.0,1714.865572,7.0,1755.100232,0.4333333333333333,1.4333333333333331,1.1,0.217391304347826,0.8695652173913043,1.173913043478261
France,Morocco,2,0,Semi-finals,2022,2,3.0,1869.428449,7.0,1755.100232,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.217391304347826,0.8695652173913043,1.173913043478261
Argentina,Croatia,3,0,Semi-finals,2022,2,1.0,1876.118331,11.0,1714.865572,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.4333333333333333,1.4333333333333331,1.1
Morocco,Portugal,1,0,Quarter-finals,2022,2,7.0,1755.100232,5.0,1766.177547,0.217391304347826,0.8695652173913043,1.173913043478261,0.4857142857142857,1.7428571428571429,1.1714285714285717
England,France,1,2,Quarter-finals,2022,0,4.0,1827.048678,3.0,1869.428449,0.4324324324324324,1.4054054054054057,0.918918918918919,0.5342465753424658,1.8630136986301369,1.1643835616438356
Croatia,Brazil,1,1,Quarter-finals,2022,1,11.0,1714.865572,6.0,1765.856297,0.4333333333333333,1.4333333333333331,1.1,0.6666666666666666,2.0789473684210527,0.9473684210526316
Netherlands,Argentina,2,2,Quarter-finals,2022,1,8.0,1751.097835,1.0,1876.118331,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.5340909090909091,1.7272727272727273,1.1477272727272727
Morocco,Spain,0,0,Round of 16,2022,1,7.0,1755.100232,2.0,1873.013187,0.217391304347826,0.8695652173913043,1.173913043478261,0.4626865671641791,1.611940298507463,1.1194029850746268
Portugal,Switzerland,6,1,Round of 16,2022,2,5.0,1766.177547,19.0,1650.064179,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.3414634146341463,1.3414634146341464,1.7804878048780488
Japan,Croatia,1,1,Round of 16,2022,1,18.0,1661.576187,11.0,1714.865572,0.28,1.0,1.32,0.4333333333333333,1.4333333333333331,1.1
Brazil,Korea Republic,4,1,Round of 16,2022,2,6.0,1765.856297,25.0,1591.630886,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.1842105263157894,1.0263157894736843,2.0526315789473686
France,Poland,3,1,Round of 16,2022,2,3.0,1869.428449,36.0,1526.183359,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.4473684210526316,1.2894736842105263,1.3157894736842106
England,Senegal,3,0,Round of 16,2022,2,4.0,1827.048678,15.0,1686.412769,0.4324324324324324,1.4054054054054057,0.918918918918919,0.4166666666666667,1.3333333333333333,1.4166666666666667
Argentina,Australia,2,1,Round of 16,2022,2,1.0,1876.118331,27.0,1579.34264,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.2,0.85,1.85
Korea Republic,Portugal,2,1,Group stage,2022,2,25.0,1591.630886,5.0,1766.177547,0.1842105263157894,1.0263157894736843,2.0526315789473686,0.4857142857142857,1.7428571428571429,1.1714285714285717
Ghana,Uruguay,0,2,Group stage,2022,0,73.0,1346.881205,16.0,1673.068603,0.3333333333333333,1.2,1.5333333333333334,0.423728813559322,1.5084745762711864,1.2881355932203389
Cameroon,Brazil,1,0,Group stage,2022,2,44.0,1481.235245,6.0,1765.856297,0.1923076923076923,0.8461538461538461,1.807692307692308,0.6666666666666666,2.0789473684210527,0.9473684210526316
Serbia,Switzerland,2,3,Group stage,2022,0,43.0,1502.133186,19.0,1650.064179,0.2222222222222222,1.0,1.6666666666666667,0.3414634146341463,1.3414634146341464,1.7804878048780488
Canada,Morocco,1,2,Group stage,2022,0,30.0,1559.479301,7.0,1755.100232,0.0,0.3333333333333333,2.0,0.217391304347826,0.8695652173913043,1.173913043478261
Croatia,Belgium,0,0,Group stage,2022,1,11.0,1714.865572,9.0,1742.235945,0.4333333333333333,1.4333333333333331,1.1,0.4117647058823529,1.3529411764705883,1.4509803921568627
Costa Rica,Germany,2,4,Group stage,2022,0,52.0,1457.00228,10.0,1735.771984,0.2857142857142857,1.0476190476190477,1.8571428571428568,0.6607142857142857,2.25,1.1964285714285714
Japan,Spain,2,1,Group stage,2022,2,18.0,1661.576187,2.0,1873.013187,0.28,1.0,1.32,0.4626865671641791,1.611940298507463,1.1194029850746268
Australia,Denmark,1,0,Group stage,2022,2,27.0,1579.34264,21.0,1619.474248,0.2,0.85,1.85,0.391304347826087,1.3478260869565215,1.2608695652173914
Tunisia,France,1,0,Group stage,2022,2,46.0,1476.405088,3.0,1869.428449,0.1666666666666666,0.7777777777777778,1.4444444444444444,0.5342465753424658,1.8630136986301369,1.1643835616438356
Saudi Arabia,Mexico,1,2,Group stage,2022,0,61.0,1421.538339,14.0,1687.481759,0.2105263157894736,0.7368421052631579,2.3157894736842106,0.2833333333333333,1.0333333333333334,1.6833333333333331
Poland,Argentina,0,2,Group stage,2022,0,36.0,1526.183359,1.0,1876.118331,0.4473684210526316,1.2894736842105263,1.3157894736842106,0.5340909090909091,1.7272727272727273,1.1477272727272727
Ecuador,Senegal,1,2,Group stage,2022,0,23.0,1598.51582,15.0,1686.412769,0.3846153846153846,1.0769230769230769,1.0769230769230769,0.4166666666666667,1.3333333333333333,1.4166666666666667
Netherlands,Qatar,2,0,Group stage,2022,2,8.0,1751.097835,57.0,1450.307729,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.0,0.3333333333333333,2.333333333333333
Wales,England,0,3,Group stage,2022,0,37.0,1516.946629,4.0,1827.048678,0.125,0.625,1.25,0.4324324324324324,1.4054054054054057,0.918918918918919
Cameroon,Serbia,3,3,Group stage,2022,1,44.0,1481.235245,43.0,1502.133186,0.1923076923076923,0.8461538461538461,1.807692307692308,0.2222222222222222,1.0,1.6666666666666667
Korea Republic,Ghana,2,3,Group stage,2022,0,25.0,1591.630886,73.0,1346.881205,0.1842105263157894,1.0263157894736843,2.0526315789473686,0.3333333333333333,1.2,1.5333333333333334
Brazil,Switzerland,1,0,Group stage,2022,2,6.0,1765.856297,19.0,1650.064179,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.3414634146341463,1.3414634146341464,1.7804878048780488
Portugal,Uruguay,2,0,Group stage,2022,2,5.0,1766.177547,16.0,1673.068603,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.423728813559322,1.5084745762711864,1.2881355932203389
Japan,Costa Rica,0,1,Group stage,2022,0,18.0,1661.576187,52.0,1457.00228,0.28,1.0,1.32,0.2857142857142857,1.0476190476190477,1.8571428571428568
Belgium,Morocco,0,2,Group stage,2022,0,9.0,1742.235945,7.0,1755.100232,0.4117647058823529,1.3529411764705883,1.4509803921568627,0.217391304347826,0.8695652173913043,1.173913043478261
Croatia,Canada,4,1,Group stage,2022,2,11.0,1714.865572,30.0,1559.479301,0.4333333333333333,1.4333333333333331,1.1,0.0,0.3333333333333333,2.0
Spain,Germany,1,1,Group stage,2022,1,2.0,1873.013187,10.0,1735.771984,0.4626865671641791,1.611940298507463,1.1194029850746268,0.6607142857142857,2.25,1.1964285714285714
Tunisia,Australia,0,1,Group stage,2022,0,46.0,1476.405088,27.0,1579.34264,0.1666666666666666,0.7777777777777778,1.4444444444444444,0.2,0.85,1.85
Poland,Saudi Arabia,2,0,Group stage,2022,2,36.0,1526.183359,61.0,1421.538339,0.4473684210526316,1.2894736842105263,1.3157894736842106,0.2105263157894736,0.7368421052631579,2.3157894736842106
France,Denmark,2,1,Group stage,2022,2,3.0,1869.428449,21.0,1619.474248,0.5342465753424658,1.8630136986301369,1.1643835616438356,0.391304347826087,1.3478260869565215,1.2608695652173914
Argentina,Mexico,2,0,Group stage,2022,2,1.0,1876.118331,14.0,1687.481759,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.2833333333333333,1.0333333333333334,1.6833333333333331
Wales,IR Iran,0,2,Group stage,2022,0,37.0,1516.946629,20.0,1619.58163,0.125,0.625,1.25,0.1666666666666666,0.7222222222222222,1.7222222222222223
Qatar,Senegal,1,3,Group stage,2022,0,57.0,1450.307729,15.0,1686.412769,0.0,0.3333333333333333,2.333333333333333,0.4166666666666667,1.3333333333333333,1.4166666666666667
Netherlands,Ecuador,1,1,Group stage,2022,1,8.0,1751.097835,23.0,1598.51582,0.5454545454545454,1.7454545454545454,0.9454545454545454,0.3846153846153846,1.0769230769230769,1.0769230769230769
Switzerland,Cameroon,1,0,Group stage,2022,2,19.0,1650.064179,44.0,1481.235245,0.3414634146341463,1.3414634146341464,1.7804878048780488,0.1923076923076923,0.8461538461538461,1.807692307692308
Uruguay,Korea Republic,0,0,Group stage,2022,1,16.0,1673.068603,25.0,1591.630886,0.423728813559322,1.5084745762711864,1.2881355932203389,0.1842105263157894,1.0263157894736843,2.0526315789473686
Portugal,Ghana,3,2,Group stage,2022,2,5.0,1766.177547,73.0,1346.881205,0.4857142857142857,1.7428571428571429,1.1714285714285717,0.3333333333333333,1.2,1.5333333333333334
Brazil,Serbia,2,0,Group stage,2022,2,6.0,1765.856297,43.0,1502.133186,0.6666666666666666,2.0789473684210527,0.9473684210526316,0.2222222222222222,1.0,1.6666666666666667
Morocco,Croatia,0,0,Group stage,2022,1,7.0,1755.100232,11.0,1714.865572,0.217391304347826,0.8695652173913043,1.173913043478261,0.4333333333333333,1.4333333333333331,1.1
Germany,Japan,1,2,Group stage,2022,0,10.0,1735.771984,18.0,1661.576187,0.6607142857142857,2.25,1.1964285714285714,0.28,1.0,1.32
Spain,Costa Rica,7,0,Group stage,2022,2,2.0,1873.013187,52.0,1457.00228,0.4626865671641791,1.611940298507463,1.1194029850746268,0.2857142857142857,1.0476190476190477,1.8571428571428568
Belgium,Canada,1,0,Group stage,2022,2,9.0,1742.235945,30.0,1559.479301,0.4117647058823529,1.3529411764705883,1.4509803921568627,0.0,0.3333333333333333,2.0
Argentina,Saudi Arabia,1,2,Group stage,2022,0,1.0,1876.118331,61.0,1421.538339,0.5340909090909091,1.7272727272727273,1.1477272727272727,0.2105263157894736,0.7368421052631579,2.3157894736842106
