home_team,away_team,home_score,away_score,Round,Year,result,home_rank,home_points,away_rank,away_points
Argentina,France,3,3,Final,2022,1,1.0,1876.118331,3.0,1869.428449
Croatia,Morocco,2,1,Third-place match,2022,2,11.0,1714.865572,7.0,1755.100232
France,Morocco,2,0,Semi-finals,2022,2,3.0,1869.428449,7.0,1755.100232
Argentina,Croatia,3,0,Semi-finals,2022,2,1.0,1876.118331,11.0,1714.865572
Morocco,Portugal,1,0,Quarter-finals,2022,2,7.0,1755.100232,5.0,1766.177547
England,France,1,2,Quarter-finals,2022,0,4.0,1827.048678,3.0,1869.428449
Croatia,Brazil,1,1,Quarter-finals,2022,1,11.0,1714.865572,6.0,1765.856297
Netherlands,Argentina,2,2,Quarter-finals,2022,1,8.0,1751.097835,1.0,1876.118331
Morocco,Spain,0,0,Round of 16,2022,1,7.0,1755.100232,2.0,1873.013187
Portugal,Switzerland,6,1,Round of 16,2022,2,5.0,1766.177547,19.0,1650.064179
Japan,Croatia,1,1,Round of 16,2022,1,18.0,1661.576187,11.0,1714.865572
Brazil,Korea Republic,4,1,Round of 16,2022,2,6.0,1765.856297,25.0,1591.630886
France,Poland,3,1,Round of 16,2022,2,3.0,1869.428449,36.0,1526.183359
England,Senegal,3,0,Round of 16,2022,2,4.0,1827.048678,15.0,1686.412769
Argentina,Australia,2,1,Round of 16,2022,2,1.0,1876.118331,27.0,1579.34264
Korea Republic,Portugal,2,1,Group stage,2022,2,25.0,1591.630886,5.0,1766.177547
Ghana,Uruguay,0,2,Group stage,2022,0,73.0,1346.881205,16.0,1673.068603
Cameroon,Brazil,1,0,Group stage,2022,2,44.0,1481.235245,6.0,1765.856297
Serbia,Switzerland,2,3,Group stage,2022,0,43.0,1502.133186,19.0,1650.064179
Canada,Morocco,1,2,Group stage,2022,0,30.0,1559.479301,7.0,1755.100232
Croatia,Belgium,0,0,Group stage,2022,1,11.0,1714.865572,9.0,1742.235945
Costa Rica,Germany,2,4,Group stage,2022,0,52.0,1457.00228,10.0,1735.771984
Japan,Spain,2,1,Group stage,2022,2,18.0,1661.576187,2.0,1873.013187
Australia,Denmark,1,0,Group stage,2022,2,27.0,1579.34264,21.0,1619.474248
Tunisia,France,1,0,Group stage,2022,2,46.0,1476.405088,3.0,1869.428449
Saudi Arabia,Mexico,1,2,Group stage,2022,0,61.0,1421.538339,14.0,1687.481759
Poland,Argentina,0,2,Group stage,2022,0,36.0,1526.183359,1.0,1876.118331
Ecuador,Senegal,1,2,Group stage,2022,0,23.0,1598.51582,15.0,1686.412769
Netherlands,Qatar,2,0,Group stage,2022,2,8.0,1751.097835,57.0,1450.307729
Wales,England,0,3,Group stage,2022,0,37.0,1516.946629,4.0,1827.048678
Cameroon,Serbia,3,3,Group stage,2022,1,44.0,1481.235245,43.0,1502.133186
Korea Republic,Ghana,2,3,Group stage,2022,0,25.0,1591.630886,73.0,1346.881205
Brazil,Switzerland,1,0,Group stage,2022,2,6.0,1765.856297,19.0,1650.064179
Portugal,Uruguay,2,0,Group stage,2022,2,5.0,1766.177547,16.0,1673.068603
Japan,Costa Rica,0,1,Group stage,2022,0,18.0,1661.576187,52.0,1457.00228
Belgium,Morocco,0,2,Group stage,2022,0,9.0,1742.235945,7.0,1755.100232
Croatia,Canada,4,1,Group stage,2022,2,11.0,1714.865572,30.0,1559.479301
Spain,Germany,1,1,Group stage,2022,1,2.0,1873.013187,10.0,1735.771984
Tunisia,Australia,0,1,Group stage,2022,0,46.0,1476.405088,27.0,1579.34264
Poland,Saudi Arabia,2,0,Group stage,2022,2,36.0,1526.183359,61.0,1421.538339
France,Denmark,2,1,Group stage,2022,2,3.0,1869.428449,21.0,1619.474248
Argentina,Mexico,2,0,Group stage,2022,2,1.0,1876.118331,14.0,1687.481759
Wales,IR Iran,0,2,Group stage,2022,0,37.0,1516.946629,20.0,1619.58163
Qatar,Senegal,1,3,Group stage,2022,0,57.0,1450.307729,15.0,1686.412769
Netherlands,Ecuador,1,1,Group stage,2022,1,8.0,1751.097835,23.0,1598.51582
Switzerland,Cameroon,1,0,Group stage,2022,2,19.0,1650.064179,44.0,1481.235245
Uruguay,Korea Republic,0,0,Group stage,2022,1,16.0,1673.068603,25.0,1591.630886
Portugal,Ghana,3,2,Group stage,2022,2,5.0,1766.177547,73.0,1346.881205
Brazil,Serbia,2,0,Group stage,2022,2,6.0,1765.856297,43.0,1502.133186
Morocco,Croatia,0,0,Group stage,2022,1,7.0,1755.100232,11.0,1714.865572
